section,Model,Hardware,Bandwidth,Quality,Memory,Flash,SRAM,Latency,RTF,Power,Verdict
all_under_50mw,rnnoise_class_16k,NXP MCX N94,16 kHz,acceptable,onchip,0.16 MiB,0.07 MiB,20 ms,0.26,7.18 mW,PASS
all_under_50mw,spectral_gate_only_16k,STM32L476RG,16 kHz,acceptable,onchip,0.05 MiB,0.05 MiB,32 ms,0.61,16.13 mW,PASS
all_under_50mw,mp_senet_micro_8k_target,Alif Ensemble E3,8 kHz,acceptable,onchip,0.27 MiB,0.18 MiB,20 ms,0.01,0.48 mW,PASS
all_under_50mw,percepnet_class_8k,Alif Ensemble E3,8 kHz,acceptable,onchip,0.27 MiB,0.10 MiB,20 ms,0.02,0.63 mW,PASS
all_under_50mw,mp_senet_micro_8k_target,NXP MCX N94,8 kHz,acceptable,onchip,0.27 MiB,0.18 MiB,20 ms,0.10,2.66 mW,PASS
all_under_50mw,percepnet_class_8k,NXP MCX N94,8 kHz,acceptable,onchip,0.27 MiB,0.10 MiB,20 ms,0.26,7.22 mW,PASS
all_under_50mw,rnnoise_class_8k,Alif Ensemble E3,8 kHz,degraded,onchip,0.14 MiB,0.04 MiB,20 ms,0.01,0.33 mW,PASS
all_under_50mw,spectral_gate_only_8k,Alif Ensemble E3,8 kHz,degraded,onchip,0.05 MiB,0.03 MiB,32 ms,0.01,0.41 mW,PASS
all_under_50mw,spectral_gate_only_8k,NXP MCX N94,8 kHz,degraded,onchip,0.05 MiB,0.03 MiB,32 ms,0.07,1.94 mW,PASS
all_under_50mw,rnnoise_class_8k,NXP MCX N94,8 kHz,degraded,onchip,0.14 MiB,0.04 MiB,20 ms,0.13,3.59 mW,PASS
all_under_50mw,spectral_gate_only_8k,STM32L476RG,8 kHz,degraded,onchip,0.05 MiB,0.03 MiB,32 ms,0.31,8.07 mW,PASS
all_under_50mw,rnnoise_class_8k,STM32L476RG,8 kHz,degraded,onchip,0.14 MiB,0.04 MiB,20 ms,0.99,26.03 mW,PASS
all_under_50mw,percepnet_class_16k,Infineon PSoC Edge E84,16 kHz,high,external,0.31 MiB,0.20 MiB,20 ms,0.05,10.20 mW,PASS
all_under_50mw,percepnet_class_16k,STM32N6,16 kHz,high,external,0.31 MiB,0.20 MiB,20 ms,0.02,13.63 mW,PASS
all_under_50mw,percepnet_class_16k,NXP i.MX RT700,16 kHz,high,external,0.31 MiB,0.20 MiB,20 ms,0.21,17.27 mW,PASS
